"uf","nome_estado","tipo_localizacao","media_ponderada_matematica","media_ponderada_portugues","media_ponderada_se"
"AC","Acre","Rural","107.07","106.70","3.27"
"AC","Acre","Urbana","114.44","115.80","4.06"
"AL","Alagoas","Rural","207.90","209.90","3.17"
"AL","Alagoas","Urbana","186.51","188.75","3.39"
"AP","Amapá","Rural","51.27","52.01","3.15"
"AP","Amapá","Urbana","63.00","65.42","4.10"
"AM","Amazonas","Rural","68.64","69.04","2.60"
"AM","Amazonas","Urbana","139.13","142.37","3.93"
"BA","Bahia","Rural","126.75","127.62","3.15"
"BA","Bahia","Urbana","111.08","112.29","3.56"
"CE","Ceará","Rural","243.16","243.26","2.89"
"CE","Ceará","Urbana","261.72","264.49","3.35"
"DF","Distrito Federal","Rural","109.72","110.68","4.66"
"DF","Distrito Federal","Urbana","98.86","99.86","5.22"
"ES","Espírito Santo","Rural","210.05","205.20","4.51"
"ES","Espírito Santo","Urbana","183.92","182.31","4.56"
"GO","Goiás","Rural","196.41","195.81","3.94"
"GO","Goiás","Urbana","219.80","222.03","4.70"
"MA","Maranhão","Rural","136.32","138.47","2.77"
"MA","Maranhão","Urbana","194.30","198.99","3.26"
"MT","Mato Grosso","Rural","82.03","81.86","4.32"
"MT","Mato Grosso","Urbana","78.00","78.86","4.64"
"MS","Mato Grosso do Sul","Rural","63.31","63.24","4.33"
"MS","Mato Grosso do Sul","Urbana","62.84","63.47","4.84"
"MG","Minas Gerais","Rural","161.81","160.83","3.56"
"MG","Minas Gerais","Urbana","164.30","164.32","4.63"
"PA","Pará","Rural","94.26","94.93","2.78"
"PA","Pará","Urbana","109.30","112.48","3.32"
"PB","Paraíba","Rural","119.54","120.65","3.30"
"PB","Paraíba","Urbana","131.19","133.26","3.50"
"PR","Paraná","Rural","188.75","187.28","4.52"
"PR","Paraná","Urbana","173.14","175.54","5.27"
"PE","Pernambuco","Rural","239.40","235.96","3.38"
"PE","Pernambuco","Urbana","242.30","244.80","3.64"
"PI","Piauí","Rural","113.98","112.49","2.74"
"PI","Piauí","Urbana","166.26","166.58","3.23"
"RJ","Rio de Janeiro","Rural","160.37","161.78","4.32"
"RJ","Rio de Janeiro","Urbana","117.98","120.06","4.42"
"RN","Rio Grande do Norte","Rural","50.98","51.88","3.54"
"RN","Rio Grande do Norte","Urbana","58.15","58.90","3.78"
"RS","Rio Grande do Sul","Rural","68.53","68.01","5.03"
"RS","Rio Grande do Sul","Urbana","89.09","88.97","5.35"
"RO","Rondônia","Rural","88.46","87.78","3.95"
"RO","Rondônia","Urbana","153.22","154.21","4.39"
"RR","Roraima","Rural","46.09","44.85","2.69"
"RR","Roraima","Urbana","50.46","50.21","4.33"
"SC","Santa Catarina","Rural","96.93","93.23","5.27"
"SC","Santa Catarina","Urbana","53.95","53.21","5.49"
"SP","São Paulo","Rural","183.79","183.69","4.81"
"SP","São Paulo","Urbana","149.80","153.43","5.08"
"SE","Sergipe","Rural","135.45","135.53","2.96"
"SE","Sergipe","Urbana","143.17","144.63","3.46"
"TO","Tocantins","Rural","133.70","131.68","3.52"
"TO","Tocantins","Urbana","151.95","151.53","4.06"
