"idEscola","nome_escola","tipo_rede","nota_ideb","media_ponderada_se"
"26119730","ESCOLA DE APLICACAO DO RECIFE","Estadual","7.70","6.31"
"26119730","ESCOLA DE APLICACAO DO RECIFE","Estadual","7.60","6.31"
"26119730","ESCOLA DE APLICACAO DO RECIFE","Estadual","7.50","6.31"
"23273909","PADRE ELIESIO DOS SANTOS ESCOLA FAMILIA AGRICOLA- EFA","Estadual","7.50","2.95"
"26119730","ESCOLA DE APLICACAO DO RECIFE","Estadual","7.50","6.31"
"43361340","COLEGIO TIRADENTES IJUI","Estadual","7.40","6.58"
"52047148","COLEGIO ESTADUAL PROFESSORA AURELICE GOMES DA FONSECA","Estadual","7.40","3.52"
"43361340","COLEGIO TIRADENTES IJUI","Estadual","7.30","6.58"
"43296050","COLEGIO TIRADENTES PASSO FUNDO","Estadual","7.20","6.43"
"43361340","COLEGIO TIRADENTES IJUI","Estadual","7.20","6.58"
"35444728","REGISTRO ETEC DE","Estadual","7.10","5.89"
"52014118","COLEGIO ESTADUAL PEDRO LUDOVICO TEIXEIRA","Estadual","7.10","4.65"
"23041790","EEEP ADRIANO NOBRE","Estadual","7.10","3.49"
"26138875","ANEXO I DO COLEGIO DA POLICIA MILITAR PETROLINA","Estadual","7.10","5.58"
"26132230","ESCOLA DE APLICACAO PROFESSORA IVONITA ALVES GUERRA","Estadual","7.10","4.97"
"23041790","EEEP ADRIANO NOBRE","Estadual","7.00","3.49"
"35006609","PRESIDENTE VARGAS ETEC","Estadual","7.00","6.29"
"23238933","EEEP PROFESSORA LYSIA PIMENTEL GOMES SAMPAIO SALES","Estadual","7.00","3.57"
"22136002","CETI AUGUSTINHO BRANDAO","Estadual","7.00","3.27"
"23255528","EEEP PROFESSOR WALQUER CAVALCANTE MAIA","Estadual","7.00","3.68"
"52014088","COLEGIO ESTADUAL FREDERICO BERNARDES RABELO","Estadual","7.00","4.10"
"35922936","COTEL - COLEGIO TECNICO DE LORENA - PROF NELSON PESCIOTTA","Estadual","7.00","6.19"
"43295070","COLEGIO TIRADENTES SANTA MARIA","Estadual","7.00","6.69"
"35290725","ETEC PROFESSOR ARMANDO JOSE FARINAZZO","Estadual","7.00","5.97"
"35045986","VASCO ANTONIO VENCHIARUTTI ETEC","Estadual","7.00","6.40"
"35920538","JOAO RAYS COMENDADOR ETEC","Estadual","6.90","6.11"
"35433861","POA ETEC DE","Estadual","6.90","5.97"
"35024880","9 DE JULHO","Estadual","6.90","5.09"
"35444728","REGISTRO ETEC DE","Estadual","6.90","5.89"
