uf,tipo_capital,anoMedicao,media_ponderada_se,media_ponderada_matematica,media_ponderada_lingua,media_ponderada_padronizada
AC,Capital,2021,4.40,295.60,301.03,5.35
AC,Interior,2021,3.56,268.63,274.51,4.57
AL,Capital,2021,3.68,262.28,270.63,4.42
AL,Interior,2021,3.27,252.25,257.91,4.09
AM,Capital,2021,4.39,261.06,271.19,4.42
AM,Interior,2021,3.06,246.50,252.87,3.94
AP,Capital,2021,4.16,,,
AP,Interior,2021,3.67,,,
BA,Capital,2021,3.78,303.37,301.27,5.46
BA,Interior,2021,3.47,263.90,270.07,4.44
CE,Capital,2021,3.76,269.80,281.71,4.70
CE,Interior,2021,3.17,272.86,277.18,4.67
DF,Capital,2021,5.19,282.61,284.35,4.92
ES,Capital,2021,4.68,293.76,296.76,5.26
ES,Interior,2021,4.55,294.02,288.78,5.14
GO,Capital,2021,4.87,271.80,281.32,4.72
GO,Interior,2021,4.65,273.34,277.25,4.68
MA,Capital,2021,3.78,257.89,270.89,4.37
MA,Interior,2021,3.04,246.31,255.29,3.97
MG,Capital,2021,5.09,274.61,281.96,4.77
MG,Interior,2021,4.56,273.83,275.65,4.66
MS,Capital,2021,4.99,293.09,299.37,5.29
MS,Interior,2021,4.75,269.81,272.48,4.56
MT,Capital,2021,4.65,284.63,283.99,4.94
MT,Interior,2021,4.61,288.15,293.34,5.13
PA,Capital,2021,3.50,251.22,263.59,4.16
PA,Interior,2021,3.20,256.90,265.97,4.28
PB,Capital,2021,4.26,277.88,279.76,4.78
PB,Interior,2021,3.38,264.70,270.73,4.46
PE,Capital,2021,4.00,271.91,281.08,4.72
PE,Interior,2021,3.56,273.62,278.47,4.70
PI,Capital,2021,3.63,270.58,276.27,4.63
PI,Interior,2021,3.06,260.74,263.62,4.30
PR,Capital,2021,5.72,279.77,286.38,4.91
PR,Interior,2021,5.16,277.53,281.14,4.80
RJ,Capital,2021,4.28,255.67,264.08,4.23
RJ,Interior,2021,4.46,259.73,267.59,4.34
RN,Capital,2021,4.06,298.76,305.32,5.46
RN,Interior,2021,3.70,298.59,298.57,5.35
RO,Capital,2021,4.54,271.65,279.67,4.69
RO,Interior,2021,4.32,267.70,270.16,4.49
RR,Capital,2021,4.57,341.80,332.93,6.47
RR,Interior,2021,3.32,213.39,217.96,2.95
RS,Capital,2021,5.06,,,
RS,Interior,2021,5.36,288.84,288.35,5.06
SC,Capital,2021,5.29,,,
SC,Interior,2021,5.49,290.06,285.13,5.03
SE,Capital,2021,3.87,264.60,272.02,4.48
SE,Interior,2021,3.28,256.48,260.83,4.20
SP,Capital,2021,4.88,279.84,290.35,4.97
SP,Interior,2021,5.12,274.12,280.85,4.74
TO,Capital,2021,4.46,285.33,286.60,4.99
TO,Interior,2021,3.97,260.91,260.76,4.26
